epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,381.413,0.43848,0.42445,0.95417,0.9244,0.91055,0.94305,0.83008,0.43477,0.23673,0.94166,0.00076075,0.00076075,0.00076075
31,761.895,0.43489,0.42037,0.95141,0.91508,0.90231,0.94458,0.82587,0.43556,0.23903,0.93794,0.0007525,0.0007525,0.0007525
32,1142.89,0.43382,0.41448,0.9508,0.88492,0.91198,0.93465,0.81775,0.42914,0.23909,0.93447,0.00074425,0.00074425,0.00074425
33,1525.77,0.43622,0.4049,0.9515,0.91656,0.91238,0.9325,0.82211,0.42792,0.23415,0.93264,0.000736,0.000736,0.000736
