epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,385.41,0.39865,0.3629,0.93784,0.9051,0.91319,0.94723,0.83606,0.41759,0.22572,0.92488,0.0006535,0.0006535,0.0006535
44,767.605,0.39904,0.3577,0.93686,0.90755,0.91131,0.94783,0.8375,0.41828,0.2263,0.92535,0.00064525,0.00064525,0.00064525
45,1151.53,0.39799,0.35198,0.93655,0.91085,0.90644,0.94797,0.83757,0.41768,0.22611,0.92512,0.000637,0.000637,0.000637
46,1537.75,0.40019,0.34813,0.93679,0.91353,0.90676,0.94807,0.8392,0.41763,0.22566,0.92444,0.00062875,0.00062875,0.00062875
47,1923.95,0.39378,0.34161,0.93575,0.91343,0.90743,0.9471,0.83832,0.41715,0.22577,0.92446,0.0006205,0.0006205,0.0006205
48,2308.2,0.39707,0.34669,0.93677,0.89632,0.91087,0.94279,0.8362,0.41676,0.2238,0.92375,0.00061225,0.00061225,0.00061225
49,2690.18,0.3908,0.33993,0.93471,0.89708,0.9103,0.94286,0.83938,0.41668,0.2239,0.92389,0.000604,0.000604,0.000604
50,3075.26,0.38913,0.34104,0.93409,0.89698,0.91591,0.94261,0.83916,0.41663,0.22336,0.9238,0.00059575,0.00059575,0.00059575
51,3459.14,0.38895,0.33898,0.93456,0.89657,0.91806,0.94188,0.83888,0.41674,0.22234,0.92381,0.0005875,0.0005875,0.0005875
